,Hour,Filename,Total_Pellets
160,17,FED009_FR1concat.csv,4.5
161,17,FED008_FR1concat.csv,9.5
162,18,FED009_FR1concat.csv,7.0
163,18,FED008_FR1concat.csv,4.0
164,18,FED007_FR1concat.csv,10.0
165,18,FED006_FR1concat.csv,7.5
166,18,FED001_FR1concat.csv,10.5
167,18,FED004_FR1concat.csv,9.5
168,18,FED003_FR1concat.csv,7.0
169,18,FED002_FR1concat.csv,6.5
170,18,FED005_FR1concat.csv,6.0
171,19,FED009_FR1concat.csv,8.5
172,19,FED007_FR1concat.csv,2.5
173,19,FED006_FR1concat.csv,9.0
174,19,FED008_FR1concat.csv,6.0
175,19,FED004_FR1concat.csv,6.5
176,19,FED003_FR1concat.csv,12.0
177,19,FED002_FR1concat.csv,4.5
178,19,FED001_FR1concat.csv,7.0
179,19,FED005_FR1concat.csv,2.5
180,20,FED001_FR1concat.csv,2.0
181,20,FED002_FR1concat.csv,5.5
182,20,FED003_FR1concat.csv,6.0
183,20,FED004_FR1concat.csv,2.0
184,20,FED005_FR1concat.csv,6.0
185,20,FED006_FR1concat.csv,6.0
186,20,FED007_FR1concat.csv,4.5
187,20,FED008_FR1concat.csv,11.0
188,20,FED009_FR1concat.csv,6.5
189,21,FED002_FR1concat.csv,4.5
190,21,FED003_FR1concat.csv,5.5
191,21,FED004_FR1concat.csv,7.5
192,21,FED005_FR1concat.csv,9.0
193,21,FED006_FR1concat.csv,1.5
194,21,FED007_FR1concat.csv,4.5
195,21,FED008_FR1concat.csv,1.0
196,21,FED009_FR1concat.csv,4.5
197,21,FED001_FR1concat.csv,3.0
198,22,FED009_FR1concat.csv,10.5
199,22,FED008_FR1concat.csv,9.0
200,22,FED007_FR1concat.csv,9.5
201,22,FED006_FR1concat.csv,7.5
202,22,FED004_FR1concat.csv,8.0
203,22,FED003_FR1concat.csv,5.5
204,22,FED002_FR1concat.csv,7.0
205,22,FED001_FR1concat.csv,6.5
206,22,FED005_FR1concat.csv,8.5
207,23,FED001_FR1concat.csv,6.0
208,23,FED002_FR1concat.csv,5.0
209,23,FED003_FR1concat.csv,6.0
210,23,FED004_FR1concat.csv,6.0
211,23,FED005_FR1concat.csv,4.5
212,23,FED006_FR1concat.csv,7.0
213,23,FED007_FR1concat.csv,7.0
214,23,FED008_FR1concat.csv,1.5
215,23,FED009_FR1concat.csv,5.0
