feedStart,feedEnd,feedDuration,filename,Device,Sex,Task,Filename
146227,146247,20,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
146759,146840,81,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
69732,69794,62,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
69898,69910,12,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
79975,80136,161,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
84776,84977,201,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
85248,85258,10,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
88825,88982,157,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
91340,91596,256,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
91836,91866,30,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
93102,93235,133,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
93453,93512,59,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
93807,93814,7,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
95339,95516,177,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
95926,95954,28,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
97079,97196,117,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
97631,97661,30,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
97765,97812,47,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
98049,98081,32,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
98343,98472,129,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
98889,98961,72,CASTLE_004_120424_01_.CSV,4,M,Free Chow,CASTLE_004_120424_01_.CSV
