Meal_Size,Filename
7,M_7_Andrews_Free_fed00502032200.csv
4,M_7_Andrews_Free_fed00502032200.csv
4,M_7_Andrews_Free_fed00502032200.csv
6,M_7_Andrews_Free_fed00502032200.csv
6,M_7_Andrews_Free_fed00502032200.csv
5,M_7_Andrews_Free_fed00502032200.csv
5,M_7_Andrews_Free_fed00502032200.csv
10,M_7_Andrews_Free_fed00502032200.csv
12,M_7_Andrews_Free_fed00502032200.csv
3,M_7_Andrews_Free_fed00502032200.csv
9,M_7_Andrews_Free_fed00502032200.csv
3,M_7_Andrews_Free_fed00502032200.csv
8,M_7_Andrews_Free_fed00502032200.csv
6,M_7_Andrews_Free_fed00502032200.csv
8,M_7_Andrews_Free_fed00502032200.csv
13,M_7_Andrews_Free_fed00502032200.csv
5,M_7_Andrews_Free_fed00502032200.csv
4,M_7_Andrews_Free_fed00502032200.csv
3,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
5,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
6,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
6,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
4,F_16_Creed_Free_FED00103242302.CSV
3,F_16_Creed_Free_FED00103242302.CSV
6,M_5_Andrews_Free_fed00202032200.csv
5,M_5_Andrews_Free_fed00202032200.csv
7,M_5_Andrews_Free_fed00202032200.csv
7,M_5_Andrews_Free_fed00202032200.csv
3,M_5_Andrews_Free_fed00202032200.csv
7,M_5_Andrews_Free_fed00202032200.csv
6,M_5_Andrews_Free_fed00202032200.csv
6,M_5_Andrews_Free_fed00202032200.csv
6,M_5_Andrews_Free_fed00202032200.csv
3,M_5_Andrews_Free_fed00202032200.csv
11,M_5_Andrews_Free_fed00202032200.csv
14,M_5_Andrews_Free_fed00202032200.csv
3,M_5_Andrews_Free_fed00202032200.csv
8,M_5_Andrews_Free_fed00202032200.csv
8,M_5_Andrews_Free_fed00202032200.csv
4,M_5_Andrews_Free_fed00202032200.csv
6,M_5_Andrews_Free_fed00202032200.csv
14,M_5_Andrews_Free_fed00202032200.csv
10,M_5_Andrews_Free_fed00202032200.csv
5,M_5_Andrews_Free_fed00202032200.csv
3,M_5_Andrews_Free_fed00202032200.csv
5,M_5_Andrews_Free_fed00202032200.csv
8,M_5_Andrews_Free_fed00202032200.csv
4,M_5_Andrews_Free_fed00202032200.csv
5,M_5_Andrews_Free_fed00202032200.csv
9,M_5_Andrews_Free_fed00202032200.csv
5,M_5_Andrews_Free_fed00202032200.csv
5,M_5_Andrews_Free_fed00202032200.csv
5,M_5_Andrews_Free_fed00202032200.csv
6,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
5,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
5,F_18_Creed_Free_FED00605282302.CSV
6,F_18_Creed_Free_FED00605282302.CSV
7,F_18_Creed_Free_FED00605282302.CSV
5,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
6,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
5,F_18_Creed_Free_FED00605282302.CSV
8,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
6,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
4,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
5,F_18_Creed_Free_FED00605282302.CSV
6,F_18_Creed_Free_FED00605282302.CSV
5,F_18_Creed_Free_FED00605282302.CSV
6,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
6,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
15,F_18_Creed_Free_FED00605282302.CSV
8,F_18_Creed_Free_FED00605282302.CSV
3,F_18_Creed_Free_FED00605282302.CSV
8,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
8,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
7,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
6,F_15_Creed_Free_FED00003242302.CSV
6,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
5,F_15_Creed_Free_FED00003242302.CSV
3,F_15_Creed_Free_FED00003242302.CSV
8,F_15_Creed_Free_FED00003242302.CSV
4,F_15_Creed_Free_FED00003242302.CSV
3,M_21_Creed_Free_FED003051923.CSV
15,M_21_Creed_Free_FED003051923.CSV
3,M_21_Creed_Free_FED003051923.CSV
5,M_21_Creed_Free_FED003051923.CSV
3,M_21_Creed_Free_FED003051923.CSV
4,M_21_Creed_Free_FED003051923.CSV
3,M_21_Creed_Free_FED003051923.CSV
7,M_21_Creed_Free_FED003051923.CSV
4,M_21_Creed_Free_FED003051923.CSV
6,M_21_Creed_Free_FED003051923.CSV
9,M_21_Creed_Free_FED003051923.CSV
3,M_21_Creed_Free_FED003051923.CSV
5,M_21_Creed_Free_FED003051923.CSV
12,M_21_Creed_Free_FED003051923.CSV
4,M_21_Creed_Free_FED003051923.CSV
5,M_21_Creed_Free_FED003051923.CSV
6,M_21_Creed_Free_FED003051923.CSV
16,M_21_Creed_Free_FED003051923.CSV
4,M_21_Creed_Free_FED003051923.CSV
7,M_21_Creed_Free_FED003051923.CSV
4,M_21_Creed_Free_FED003051923.CSV
3,M_21_Creed_Free_FED003051923.CSV
13,M_21_Creed_Free_FED003051923.CSV
6,M_21_Creed_Free_FED003051923.CSV
3,M_21_Creed_Free_FED003051923.CSV
6,M_21_Creed_Free_FED003051923.CSV
5,M_21_Creed_Free_FED003051923.CSV
5,M_21_Creed_Free_FED003051923.CSV
7,M_21_Creed_Free_FED003051923.CSV
4,M_21_Creed_Free_FED003051923.CSV
6,M_21_Creed_Free_FED003051923.CSV
6,M_21_Creed_Free_FED003051923.CSV
5,M_21_Creed_Free_FED003051923.CSV
4,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
4,M_19_Creed_Free_FED002051923.CSV
8,M_19_Creed_Free_FED002051923.CSV
4,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
4,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
4,M_19_Creed_Free_FED002051923.CSV
3,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
7,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
8,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
4,M_19_Creed_Free_FED002051923.CSV
6,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
5,M_19_Creed_Free_FED002051923.CSV
3,M_20_Creed_Free_FED003030523.CSV
5,M_20_Creed_Free_FED003030523.CSV
8,M_20_Creed_Free_FED003030523.CSV
5,M_20_Creed_Free_FED003030523.CSV
