MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 19:07:35,8,3.98,,FR1,Poke,Left,70,83,39,,0,FR1
2024-07-28 19:07:53,8,3.99,,FR1,Poke,Left,71,83,39,,0,FR1
2024-07-28 19:07:55,8,3.99,,FR1,Poke,Left,72,83,39,,0,FR1
2024-07-28 19:08:30,8,3.98,,FR1,Poke,Left,72,84,39,,0,FR1
2024-07-28 19:08:33,8,3.99,,FR1,Poke,Left,72,85,39,,0,FR1
2024-07-28 19:11:30,8,3.99,3.0,FR1,Pellet,Left,72,85,40,,0,FR1
2024-07-28 19:15:10,8,3.98,,FR1,Poke,Left,73,85,40,,0,FR1
2024-07-28 19:15:15,8,3.99,1.0,FR1,Pellet,Left,73,85,41,3.86,0,FR1
2024-07-28 19:15:35,8,3.99,,FR1,Poke,Left,74,85,41,,0,FR1
2024-07-28 19:15:45,8,3.99,1.0,FR1,Pellet,Left,74,85,42,8.94,0,FR1
2024-07-28 19:16:30,8,3.98,,FR1,Poke,Left,75,85,42,,0,FR1
2024-07-28 19:16:58,8,3.99,,FR1,Poke,Left,76,85,42,,0,FR1
2024-07-28 19:17:05,8,3.98,,FR1,Poke,Left,77,85,42,,0,FR1
2024-07-28 19:17:06,8,3.98,,FR1,Poke,Left,78,85,42,,0,FR1
2024-07-28 19:17:08,8,3.99,,FR1,Poke,Left,79,85,42,,0,FR1
2024-07-28 19:17:11,8,3.99,,FR1,Poke,Left,80,85,42,,0,FR1
2024-07-28 19:17:16,8,3.98,,FR1,Poke,Left,81,85,42,,0,FR1
2024-07-28 19:17:17,8,3.98,,FR1,Poke,Left,82,85,42,,0,FR1
2024-07-28 19:19:22,8,3.99,,FR1,Poke,Left,82,86,42,,0,FR1
2024-07-28 19:19:23,8,4.0,1.0,FR1,Pellet,Left,82,86,43,,0,FR1
2024-07-28 19:20:49,8,3.99,,FR1,Poke,Left,83,86,43,,0,FR1
2024-07-28 19:22:12,8,3.98,2.0,FR1,Pellet,Left,83,86,44,,0,FR1
2024-07-28 19:24:16,8,3.99,,FR1,Poke,Left,84,86,44,,0,FR1
2024-07-28 19:24:16,8,3.99,,FR1,Poke,Left,85,86,44,,0,FR1
2024-07-28 19:24:25,8,3.99,,FR1,Poke,Left,86,86,44,,0,FR1
2024-07-28 19:24:33,8,3.98,,FR1,Poke,Left,87,86,44,,0,FR1
2024-07-28 19:25:59,8,3.98,2.0,FR1,Pellet,Left,87,86,45,,0,FR1
2024-07-28 19:28:38,8,3.99,,FR1,Poke,Left,88,86,45,,0,FR1
2024-07-28 19:28:43,8,3.99,,FR1,Poke,Left,89,86,45,,0,FR1
2024-07-28 19:28:44,8,3.99,,FR1,Poke,Left,90,86,45,,0,FR1
2024-07-28 19:28:48,8,3.98,,FR1,Poke,Left,91,86,45,,0,FR1
2024-07-28 19:28:51,8,3.98,,FR1,Poke,Left,92,86,45,,0,FR1
2024-07-28 19:28:56,8,3.99,,FR1,Poke,Left,93,86,45,,0,FR1
2024-07-28 19:29:14,8,3.98,,FR1,Poke,Left,94,86,45,,0,FR1
2024-07-28 19:29:15,8,3.99,,FR1,Poke,Left,95,86,45,,0,FR1
2024-07-28 19:29:45,8,3.99,1.0,FR1,Pellet,Left,95,86,46,,0,FR1
2024-07-28 19:29:47,8,3.99,,FR1,Poke,Left,96,86,46,,0,FR1
2024-07-28 19:30:10,8,3.98,1.0,FR1,Pellet,Left,96,86,47,22.0,0,FR1
2024-07-28 19:35:05,8,3.99,,FR1,Poke,Left,97,86,47,,0,FR1
2024-07-28 19:35:05,8,3.98,,FR1,Poke,Left,98,86,47,,0,FR1
2024-07-28 19:35:10,8,3.98,,FR1,Poke,Left,99,86,47,,0,FR1
2024-07-28 19:35:12,8,3.99,,FR1,Poke,Left,100,86,47,,0,FR1
2024-07-28 19:35:17,8,3.99,,FR1,Poke,Left,101,86,47,,0,FR1
2024-07-28 19:35:20,8,3.99,,FR1,Poke,Left,102,86,47,,0,FR1
2024-07-28 19:35:37,8,3.98,,FR1,Poke,Left,102,87,47,,0,FR1
2024-07-28 19:43:34,8,3.98,,FR1,Poke,Left,103,87,47,,0,FR1
2024-07-28 19:43:40,8,3.98,,FR1,Poke,Left,104,87,47,,0,FR1
2024-07-28 19:43:50,8,3.99,2.0,FR1,Pellet,Left,104,87,48,,0,FR1
2024-07-28 19:44:40,8,3.99,,FR1,Poke,Left,105,87,48,,0,FR1
2024-07-28 19:44:42,8,3.99,1.0,FR1,Pellet,Left,105,87,49,1.39,0,FR1
2024-07-28 19:45:16,8,3.98,,FR1,Poke,Left,106,87,49,,0,FR1
2024-07-28 19:45:18,8,3.98,1.0,FR1,Pellet,Left,106,87,50,1.77,0,FR1
2024-07-29 05:52:15,8,3.96,,FR1,Poke,Left,106,88,50,,0,FR1
2024-07-29 05:52:19,8,3.96,,FR1,Poke,Left,106,89,50,,0,FR1
2024-07-29 05:52:58,8,3.96,,FR1,Poke,Left,107,89,50,,0,FR1
2024-07-29 05:52:59,8,3.96,,FR1,Poke,Left,108,89,50,,0,FR1
2024-07-29 05:53:02,8,3.96,2.0,FR1,Pellet,Left,108,89,51,0.44,0,FR1
